Motherboard Name,Socket Compatibility,Memory Slots,Color,Price (USD),Memory Max
ASRock A620I LIGHTNING WIFI,AM5,2,Black,140.98,96
ASRock B650I Lightning Wifi,AM5,2,Black,199.99,96
Asus ROG STRIX B850-I GAMING WIFI,AM5,2,Black,299.99,96
ASRock B850I Lightning WiFi,AM5,2,Black,209.99,128
Gigabyte X870I AORUS PRO ICE,AM5,2,White,299.99,128
Asus ROG STRIX B650E-I GAMING WIFI,AM5,2,Black,229.99,96
Gigabyte A620I AX,AM5,2,Black/Gray,144.94,96
Gigabyte B850I AORUS PRO,AM5,2,Black,259.99,128
Asus ROG STRIX X870-I GAMING WIFI,AM5,2,Black,441.99,96
MSI MPG B650I EDGE WIFI,AM5,2,Black/Silver,294.99,128
Gigabyte B650I AORUS ULTRA,AM5,2,Black/Silver,249.95,96
Asus ROG STRIX B860-I GAMING WIFI,LGA1851,2,Black/Silver,214.99,128
Gigabyte B650I AX,AM5,2,Black,159.99,96
ASRock B860I WiFi,LGA1851,2,Black,159.99,128
MSI MPG B760I EDGE WIFI,LGA1700,2,Black/Silver,210.0,96
ASRock Z790I Lightning WiFi,LGA1700,2,Black,459.99,96
Asus ROG STRIX Z790-I GAMING WIFI,LGA1700,2,Black,252.99,96
Gigabyte B860I AORUS PRO ICE,LGA1851,2,White/Silver,219.99,128
Gigabyte Z890I AORUS ULTRA,LGA1851,2,Black,319.99,128
Asus ROG STRIX B660-I GAMING WIFI,LGA1700,2,Black/Silver,235.74,96
Asus ROG STRIX Z690-I GAMING WIFI,LGA1700,2,Black/Silver,449.99,96
ASRock Z690 Phantom Gaming-ITX/TB4,LGA1700,2,Black/Red,329.99,96
MSI MEG Z690I UNIFY,LGA1700,2,Black/Silver,399.99,96
ASRock Z790 PG-ITX/TB4,LGA1700,2,Black,327.99,96
Biostar B760NH-E,LGA1700,2,Black/Silver,159.99,96
ASRock B650E PG-ITX WIFI,AM5,2,Black,349.99,96
MAXSUN Challenger B760ITX D5 WIFI,LGA1700,2,Black/White,334.18,96
MAXSUN eSport B650ITX WIFI ICE,AM5,2,Black,359.99,96
